state,county,county_code,year,flood_type,detections,first_detection,last_detection,mean_cloud_fraction
Central Equatoria,Juba,SS0101,2000,unusual,1,2000-12-21,2000-12-21,0.0
Central Equatoria,Terekeka,SS0105,2000,recurring,1,2000-11-28,2000-11-28,0.0
Central Equatoria,Terekeka,SS0105,2000,unusual,1,2000-11-26,2000-11-26,0.0
Eastern Equatoria,Budi,SS0201,2000,unusual,3,2000-12-01,2000-12-06,0.0
Eastern Equatoria,Ikotos,SS0202,2000,unusual,5,2000-12-06,2000-12-06,0.0
Eastern Equatoria,Kapoeta East,SS0203,2000,unusual,38,2000-04-14,2000-12-24,0.0
Eastern Equatoria,Kapoeta South,SS0205,2000,unusual,1,2000-12-05,2000-12-05,0.0
Eastern Equatoria,Lafon,SS0206,2000,unusual,11,2000-09-17,2000-12-29,0.0
Eastern Equatoria,Magwi,SS0207,2000,unusual,1,2000-02-28,2000-02-28,0.0
Jonglei,Akobo,SS0301,2000,recurring,3,2000-11-03,2000-11-19,0.0
Jonglei,Akobo,SS0301,2000,unusual,5,2000-02-28,2000-12-31,0.0
Jonglei,Ayod,SS0302,2000,recurring,559,2000-02-28,2000-12-31,0.0
Jonglei,Ayod,SS0302,2000,unusual,345,2000-02-28,2000-12-31,0.0
Jonglei,Bor South,SS0303,2000,recurring,16,2000-02-28,2000-12-07,0.0
Jonglei,Bor South,SS0303,2000,unusual,125,2000-02-28,2000-12-29,0.0
Jonglei,Canal/Pigi,SS0304,2000,unusual,15,2000-12-13,2000-12-27,0.0
Jonglei,Duk,SS0305,2000,recurring,81,2000-03-30,2000-12-31,0.0
Jonglei,Duk,SS0305,2000,unusual,325,2000-02-28,2000-12-31,0.0
Jonglei,Fangak,SS0306,2000,recurring,128,2000-02-28,2000-12-29,0.0
Jonglei,Fangak,SS0306,2000,unusual,148,2000-03-06,2000-12-29,0.0
Jonglei,Pibor,SS0308,2000,unusual,179,2000-03-27,2000-12-21,0.0
Jonglei,Pochalla,SS0309,2000,unusual,47,2000-12-08,2000-12-31,0.0
Jonglei,Twic East,SS0310,2000,recurring,22,2000-03-31,2000-12-20,0.0
Jonglei,Twic East,SS0310,2000,unusual,154,2000-02-28,2000-12-31,0.0
Jonglei,Uror,SS0311,2000,unusual,36,2000-04-12,2000-12-29,0.0
Lakes,Awerial,SS0401,2000,recurring,27,2000-02-28,2000-12-30,0.0
Lakes,Awerial,SS0401,2000,unusual,148,2000-02-28,2000-12-30,0.0
Lakes,Yirol East,SS0407,2000,recurring,16,2000-03-07,2000-12-22,0.0
Lakes,Yirol East,SS0407,2000,unusual,375,2000-02-28,2000-12-31,0.0
Lakes,Yirol West,SS0408,2000,recurring,9,2000-09-24,2000-12-06,0.0
Lakes,Yirol West,SS0408,2000,unusual,13,2000-12-19,2000-12-29,0.0
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000,recurring,110,2000-10-21,2000-10-31,0.0
Northern Bahr el Ghazal,Aweil Centre,SS0501,2000,unusual,133,2000-10-21,2000-10-31,0.0
Northern Bahr el Ghazal,Aweil East,SS0502,2000,recurring,28,2000-10-30,2000-10-31,0.0
Northern Bahr el Ghazal,Aweil South,SS0504,2000,unusual,5,2000-11-23,2000-11-23,0.0
Northern Bahr el Ghazal,Aweil West,SS0505,2000,recurring,6,2000-10-30,2000-10-31,0.0
Unity,Koch,SS0603,2000,recurring,52,2000-03-13,2000-12-29,0.0
Unity,Koch,SS0603,2000,unusual,61,2000-03-29,2000-12-27,0.0
