state,county,county_code,mapped_cattle,mapped_rangeland_km2
Abyei Region,Abyei Region,SS0001,132982.49556891053,7262.681214412422
Central Equatoria,Juba,SS0101,360601.76558356546,13752.716171981596
Central Equatoria,Kajo-keji,SS0102,91808.31860554423,1341.168080037051
Central Equatoria,Lainya,SS0103,63668.74522324931,1449.1547296670449
Central Equatoria,Morobo,SS0104,69227.84161689546,502.4190296512404
Central Equatoria,Terekeka,SS0105,237603.71073512879,7897.456263443376
Central Equatoria,Yei,SS0106,116147.5436669153,2279.787838906436
Eastern Equatoria,Budi,SS0201,128606.94631944393,3542.5919590167828
Eastern Equatoria,Ikotos,SS0202,70411.28570542824,2007.6528776210603
Eastern Equatoria,Kapoeta East,SS0203,470100.2677425906,18772.177888044393
Eastern Equatoria,Kapoeta North,SS0204,82947.9607988072,4192.960151555584
Eastern Equatoria,Kapoeta South,SS0205,35373.24029103452,635.2038503264295
Eastern Equatoria,Lafon,SS0206,96294.67955112658,14823.17439795789
Eastern Equatoria,Magwi,SS0207,63785.93063343339,3550.6756723558688
Eastern Equatoria,Torit,SS0208,72462.91405590945,3236.387024260224
Jonglei,Akobo,SS0301,175699.1807199529,6532.316358693662
Jonglei,Ayod,SS0302,201782.46042055037,5076.329319220078
Jonglei,Bor South,SS0303,243308.03972200712,11769.8456823609
Jonglei,Canal/Pigi,SS0304,87516.07117804422,1980.7292549315976
Jonglei,Duk,SS0305,99618.34379265053,1705.490979831709
Jonglei,Fangak,SS0306,117493.90543608212,1995.0525243486366
Jonglei,Nyirol,SS0307,140483.80953124614,3710.9150588704556
Jonglei,Pibor,SS0308,193875.53854897854,27049.323747902068
Jonglei,Pochalla,SS0309,80363.3332727724,5881.080917662681
Jonglei,Twic East,SS0310,88299.61811081132,1745.4260068320687
Jonglei,Uror,SS0311,217525.1034783222,11730.640022262383
Lakes,Awerial,SS0401,176328.24155778295,2504.7722140982924
Lakes,Cueibet,SS0402,219504.52589374286,3485.676600542174
Lakes,Rumbek Centre,SS0403,192536.15799166594,3141.75646908826
Lakes,Rumbek East,SS0404,166305.2755131909,2619.460589948675
Lakes,Rumbek North,SS0405,194708.27402497112,3396.0875975295908
Lakes,Wulu,SS0406,166683.00024819636,6598.850223343937
Lakes,Yirol East,SS0407,142276.76368076613,2125.036146575075
Lakes,Yirol West,SS0408,204961.6287366536,3645.1566643213937
Northern Bahr el Ghazal,Aweil Centre,SS0501,364961.8333817694,6375.796523491362
Northern Bahr el Ghazal,Aweil East,SS0502,505027.78025618306,4349.461713847028
Northern Bahr el Ghazal,Aweil North,SS0503,463800.5038861725,4454.177362811882
Northern Bahr el Ghazal,Aweil South,SS0504,141256.8006910938,1488.70602424816
Northern Bahr el Ghazal,Aweil West,SS0505,318964.9515941321,3606.9611470789
Unity,Abiemnhom,SS0601,73586.64128463752,1164.608356296311
Unity,Guit,SS0602,91577.56427380373,1216.0081150752221
Unity,Koch,SS0603,176766.9940693639,1749.121352267066
Unity,Leer,SS0604,50149.18049926602,777.6746644612891
Unity,Mayendit,SS0605,120203.27907225509,1451.6437898680008
Unity,Mayom,SS0606,205288.5547938287,1598.7431552666446
Unity,Panyijiar,SS0607,186234.84934590216,1794.0735977506286
Unity,Pariang,SS0608,292350.7314447586,6689.855927735731
Unity,Rubkona,SS0609,145667.06029210007,1294.0905432455856
Upper Nile,Baliet,SS0701,136001.39521011093,9217.971660963822
Upper Nile,Fashoda,SS0702,45411.775920354725,2730.6230770926754
Upper Nile,Longochuk,SS0703,104215.82975774753,4074.165160221218
Upper Nile,Luakpiny/Nasir,SS0704,91833.42188563575,2500.23955063937
Upper Nile,Maban,SS0705,112624.65699395166,9725.751287347652
Upper Nile,Maiwut,SS0706,57170.19636334423,2145.136482772502
Upper Nile,Malakal,SS0707,14137.500063310226,586.6149673191094
Upper Nile,Manyo,SS0708,80502.18835623917,4681.965723820788
Upper Nile,Melut,SS0709,92664.47493130254,4980.504810976144
Upper Nile,Panyikang,SS0710,50994.37039438586,3883.1264473312813
Upper Nile,Renk,SS0711,211570.4968000522,6340.472414330997
Upper Nile,Ulang,SS0712,73554.99237730731,923.7064863288346
Warrap,Gogrial East,SS0801,206271.32815608417,2002.0456804618725
Warrap,Gogrial West,SS0802,244418.04604152858,2695.836128265535
Warrap,Tonj East,SS0803,222152.49576464493,3145.455812920198
Warrap,Tonj North,SS0804,512008.5597465371,6031.486693973456
Warrap,Tonj South,SS0805,193556.79397429893,4666.597617995273
Warrap,Twic,SS0806,243078.4653210141,1391.3044957703369
Western Bahr el Ghazal,Jur River,SS0901,283219.50814170716,6432.956364501161
Western Bahr el Ghazal,Raja,SS0902,737917.1796449482,28623.919198127707
Western Bahr el Ghazal,Wau,SS0903,429582.2103562287,9126.091408097496
Western Equatoria,Ezo,SS1001,58471.99096145854,2573.806730761859
Western Equatoria,Ibba,SS1002,79247.36853544826,2917.0677764141487
Western Equatoria,Maridi,SS1003,76710.0102921582,1775.0712719078053
Western Equatoria,Mundri East,SS1004,98504.7244839144,3232.2039120206655
Western Equatoria,Mundri West,SS1005,64017.3937232659,2955.0765719270903
Western Equatoria,Mvolo,SS1006,110548.4878477016,3954.5534747074084
Western Equatoria,Nagero,SS1007,50166.47403298089,5108.310089549497
Western Equatoria,Nzara,SS1008,57081.95646585414,2187.881674019912
Western Equatoria,Tambura,SS1009,90981.03850918311,4734.411063283882
Western Equatoria,Yambio,SS1010,84882.59124263177,2849.2758670603544
