month,detected_area_km2,flooded_rangeland_km2,potential_cattle_exposed,calendar_weeks
1,1622.5116377645527,697.9775581265868,37089.48912986805,116
2,1078.0044348090428,412.280189983125,27259.933434877537,105
3,522.240498833162,185.03781030175506,14992.118725672512,114
4,306.6677936389034,95.25628765021031,9207.25782039816,112
5,316.14607173118253,109.98941955106382,8833.883597971178,115
6,220.75935309332291,67.41523477565775,6388.627646300887,111
7,217.4425865855335,80.5501123332799,6191.775724263426,116
8,266.2600804845589,91.96721978645407,8030.9843794154895,114
9,406.0838554271112,148.19231426125762,13508.978757912462,112
10,718.7859948156945,245.18319707818063,26944.45341431946,116
11,1081.4746410678213,366.68145435153536,36323.641823114136,110
12,1476.3416875949142,547.292867653405,38067.44515927341,116
