state,county,county_code,week,detected_pixel_days,unique_grid_cells,detected_area_km2,county_area_km2,detected_county_percent
Central Equatoria,Juba,SS0101,2000-12-18,1,1,0.0534881108229194,18366.51488079,0.0002912262406346016
Central Equatoria,Terekeka,SS0105,2000-11-20,1,1,0.05342988777290852,10672.12996617,0.0005006487734152226
Central Equatoria,Terekeka,SS0105,2000-11-27,1,1,0.05343007006176853,10672.12996617,0.0005006504814984318
Eastern Equatoria,Budi,SS0201,2000-11-27,2,2,0.10707303462863157,5733.33260999,0.001867553165188132
Eastern Equatoria,Budi,SS0201,2000-12-04,1,1,0.05349500115562622,5733.33260999,0.0009330524634557967
Eastern Equatoria,Ikotos,SS0202,2000-12-04,5,5,0.2676920525478919,3511.09691111,0.007624171571591957
Eastern Equatoria,Kapoeta East,SS0203,2000-04-10,1,1,0.05344899231956301,29562.91101223,0.0001807974603632622
Eastern Equatoria,Kapoeta East,SS0203,2000-04-17,2,2,0.10691322386280153,29562.91101223,0.0003616464691808332
Eastern Equatoria,Kapoeta East,SS0203,2000-10-09,3,3,0.16041846600424872,29562.91101223,0.0005426342011376503
Eastern Equatoria,Kapoeta East,SS0203,2000-11-20,2,2,0.10696055265309515,29562.91101223,0.00036180656434288964
Eastern Equatoria,Kapoeta East,SS0203,2000-12-04,28,28,1.4972368127908675,29562.91101223,0.005064578424538333
Eastern Equatoria,Kapoeta East,SS0203,2000-12-18,2,2,0.1069762554113326,29562.91101223,0.0003618596807570038
Eastern Equatoria,Kapoeta South,SS0205,2000-12-04,1,1,0.05348397489984482,1200.20656921,0.004456230808255702
Eastern Equatoria,Lafon,SS0206,2000-09-11,1,1,0.053468456529750456,16242.17197208,0.0003291952370758158
Eastern Equatoria,Lafon,SS0206,2000-12-25,10,10,0.5341807062562524,16242.17197208,0.0032888502053450694
Eastern Equatoria,Magwi,SS0207,2000-02-28,1,1,0.05354623179581809,5200.66261461,0.001029604028636523
Jonglei,Akobo,SS0301,2000-02-28,2,2,0.10641756405446884,9024.06750885,0.001179263829200125
Jonglei,Akobo,SS0301,2000-10-30,2,2,0.106320355921628,9024.06750885,0.001178186619474627
Jonglei,Akobo,SS0301,2000-11-13,1,1,0.05316057828066463,9024.06750885,0.0005890977458726842
Jonglei,Akobo,SS0301,2000-12-25,3,3,0.15961926419917535,9024.06750885,0.0017688172660791273
Jonglei,Ayod,SS0302,2000-02-28,27,27,1.4349816416074017,13449.1465305,0.010669685532484516
Jonglei,Ayod,SS0302,2000-03-06,4,2,0.10630077628954135,13449.1465305,0.0007903904983745418
Jonglei,Ayod,SS0302,2000-03-13,70,38,2.0198872709039564,13449.1465305,0.015018702237523043
Jonglei,Ayod,SS0302,2000-03-20,1,1,0.053110013168427575,13449.1465305,0.000394895044440066
Jonglei,Ayod,SS0302,2000-03-27,66,32,1.7008614161364177,13449.1465305,0.01264661227594778
Jonglei,Ayod,SS0302,2000-04-03,94,70,3.7198596526577803,13449.1465305,0.02765870417295161
Jonglei,Ayod,SS0302,2000-04-10,11,11,0.5847639499442161,13449.1465305,0.004347963260107899
Jonglei,Ayod,SS0302,2000-04-17,2,2,0.10627255877067845,13449.1465305,0.0007901806893818381
Jonglei,Ayod,SS0302,2000-05-01,55,36,1.9137799667626496,13449.1465305,0.01422975028506512
Jonglei,Ayod,SS0302,2000-05-15,10,7,0.3721416830518437,13449.1465305,0.002767028243821272
Jonglei,Ayod,SS0302,2000-05-29,2,2,0.10628481497975036,13449.1465305,0.0007902718193955093
Jonglei,Ayod,SS0302,2000-06-05,3,3,0.15954170012703972,13449.1465305,0.0011862589181048087
Jonglei,Ayod,SS0302,2000-06-12,7,7,0.3721070512692113,13449.1465305,0.0027667707421087737
Jonglei,Ayod,SS0302,2000-06-19,42,37,1.96705499138136,13449.1465305,0.0146258722582914
Jonglei,Ayod,SS0302,2000-07-24,10,10,0.5317107493744524,13449.1465305,0.0039534906409759
Jonglei,Ayod,SS0302,2000-07-31,16,16,0.8501654743819045,13449.1465305,0.006321334015165182
Jonglei,Ayod,SS0302,2000-08-21,45,45,2.3911761166814496,13449.1465305,0.017779389281384776
Jonglei,Ayod,SS0302,2000-09-11,3,3,0.15938286531210336,13449.1465305,0.0011850779151721977
Jonglei,Ayod,SS0302,2000-09-18,13,13,0.6911440222533882,13449.1465305,0.005138943357379671
