state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Central Equatoria,Juba,SS0101,2000-12-18,unusual,1,1,0.0534881108229194
Central Equatoria,Terekeka,SS0105,2000-11-20,unusual,1,1,0.05342988777290852
Central Equatoria,Terekeka,SS0105,2000-11-27,recurring,1,1,0.05343007006176853
Eastern Equatoria,Budi,SS0201,2000-11-27,unusual,2,2,0.10707303462863157
Eastern Equatoria,Budi,SS0201,2000-12-04,unusual,1,1,0.05349500115562622
Eastern Equatoria,Ikotos,SS0202,2000-12-04,unusual,5,5,0.2676920525478919
Eastern Equatoria,Kapoeta East,SS0203,2000-04-10,unusual,1,1,0.05344899231956301
Eastern Equatoria,Kapoeta East,SS0203,2000-04-17,unusual,2,2,0.10691322386280153
Eastern Equatoria,Kapoeta East,SS0203,2000-10-09,unusual,3,3,0.16041846600424872
Eastern Equatoria,Kapoeta East,SS0203,2000-11-20,unusual,2,2,0.10696055265309515
Eastern Equatoria,Kapoeta East,SS0203,2000-12-04,unusual,28,28,1.4972368127908675
Eastern Equatoria,Kapoeta East,SS0203,2000-12-18,unusual,2,2,0.1069762554113326
Eastern Equatoria,Kapoeta South,SS0205,2000-12-04,unusual,1,1,0.05348397489984482
Eastern Equatoria,Lafon,SS0206,2000-09-11,unusual,1,1,0.053468456529750456
Eastern Equatoria,Lafon,SS0206,2000-12-25,unusual,10,10,0.5341807062562524
Eastern Equatoria,Magwi,SS0207,2000-02-28,unusual,1,1,0.05354623179581809
Jonglei,Akobo,SS0301,2000-02-28,unusual,2,2,0.10641756405446884
Jonglei,Akobo,SS0301,2000-10-30,recurring,2,2,0.106320355921628
Jonglei,Akobo,SS0301,2000-11-13,recurring,1,1,0.05316057828066463
Jonglei,Akobo,SS0301,2000-12-25,unusual,3,3,0.15961926419917535
Jonglei,Ayod,SS0302,2000-02-28,recurring,18,18,0.956727352177599
Jonglei,Ayod,SS0302,2000-02-28,unusual,9,9,0.4782542894298028
Jonglei,Ayod,SS0302,2000-03-06,recurring,4,2,0.10630077628954135
Jonglei,Ayod,SS0302,2000-03-13,recurring,46,24,1.2757617052466101
Jonglei,Ayod,SS0302,2000-03-13,unusual,24,14,0.7441255656573466
Jonglei,Ayod,SS0302,2000-03-20,recurring,1,1,0.053110013168427575
Jonglei,Ayod,SS0302,2000-03-27,recurring,52,22,1.1694134317075522
Jonglei,Ayod,SS0302,2000-03-27,unusual,14,11,0.5846249707738534
Jonglei,Ayod,SS0302,2000-04-03,recurring,53,40,2.125794272373285
Jonglei,Ayod,SS0302,2000-04-03,unusual,41,30,1.5940653802844953
