county,month,mean_weekly_detected_area_km2,years_included,calendar_weeks,weeks_with_detection
Aweil Centre,1,0.009694775118380922,26,116,9
Aweil Centre,2,0.0020415229512358414,26,105,2
Aweil Centre,3,0.0028558037212232617,26,114,3
Aweil Centre,4,0.0026546017917119086,26,112,2
Aweil Centre,5,0.0033663272272354055,26,115,2
Aweil Centre,6,0.0027548767617224515,26,111,3
Aweil Centre,7,0.0010202714101464618,26,116,1
Aweil Centre,8,0.6465667535811884,26,114,30
Aweil Centre,9,2.9694017305228324,26,112,54
Aweil Centre,10,4.369620467972141,26,116,68
Aweil Centre,11,1.495053258783956,26,110,67
Aweil Centre,12,0.16755301487164356,26,116,26
Aweil East,1,0.19852797175665826,26,116,29
Aweil East,2,0.02192123458948362,26,105,7
Aweil East,3,0.002853739977673008,26,114,2
Aweil East,4,0.0020361547337652583,26,112,2
Aweil East,5,0.02486954074752688,26,115,8
Aweil East,6,0.5486451573978528,26,111,9
Aweil East,7,0.3390693084853441,26,116,19
Aweil East,8,3.532911866076643,26,114,57
Aweil East,9,16.65902736556819,26,112,83
Aweil East,10,43.839688057087116,26,116,95
Aweil East,11,27.76332529959695,26,110,91
Aweil East,12,1.6364656817508878,26,116,76
Aweil North,1,0.003973554385269142,26,116,2
Aweil North,2,0.00101890178973888,26,105,1
Aweil North,3,0.0015268432829323017,26,114,1
Aweil North,4,0.0015264829227463312,26,112,2
Aweil North,5,0.0010180476895933965,26,115,1
Aweil North,6,0.07767648129103435,26,111,5
Aweil North,7,0.0012219366079608911,26,116,1
Aweil North,8,0.10885056175559948,26,114,8
Aweil North,9,1.4492461682651316,26,112,35
Aweil North,10,2.422565185973293,26,116,48
Aweil North,11,0.22564842971232665,26,110,29
Aweil North,12,0.0036643383630737946,26,116,5
Aweil South,1,0.10370605619850148,26,116,16
Aweil South,2,0.0,26,105,0
Aweil South,3,0.0020398835355161173,26,114,2
Aweil South,4,0.00459022832666498,26,112,2
Aweil South,5,0.000510115934196784,26,115,1
Aweil South,6,0.0020399350143857882,26,111,1
Aweil South,7,0.008260173802363309,26,116,2
Aweil South,8,0.2888877851696336,26,114,15
Aweil South,9,5.149217423681445,26,112,50
Aweil South,10,20.053169167121915,26,116,83
Aweil South,11,22.08773519352279,26,110,81
Aweil South,12,5.28948608651732,26,116,66
Aweil West,1,0.004587559248044954,26,116,3
Aweil West,2,0.0,26,105,0
Aweil West,3,0.004894670640787322,26,114,5
Aweil West,4,0.0020398434630440293,26,112,1
Aweil West,5,0.006420651890964513,26,115,5
Aweil West,6,0.8861766420725581,26,111,8
Aweil West,7,0.027428077385970952,26,116,7
Aweil West,8,0.8747919939614316,26,114,31
Aweil West,9,5.183574475572792,26,112,69
Aweil West,10,9.918160747482192,26,116,72
Aweil West,11,1.7239766108528907,26,110,50
Aweil West,12,0.0032637628234472743,26,116,4
