county,week,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2000-10-16,53,0.0,27,1.4324951025535475,2000,10
Aweil Centre,2000-10-23,38,0.0,38,2.015926993024907,2000,10
Aweil Centre,2000-10-30,152,0.0,83,4.402623148984815,2000,10
Aweil Centre,2001-10-15,19,0.0,11,0.583370340149964,2001,10
Aweil Centre,2001-10-29,38,0.0,19,1.00762204045512,2001,10
Aweil Centre,2002-09-02,3,0.0,3,0.15922079062653108,2002,9
Aweil Centre,2002-09-16,3,0.0,3,0.15910048653205472,2002,9
Aweil Centre,2002-09-23,5,0.0,5,0.2651375960544848,2002,9
Aweil Centre,2002-09-30,2,0.0,2,0.10606768718664208,2002,9
Aweil Centre,2002-10-28,1,0.0,1,0.053087688165767664,2002,10
Aweil Centre,2002-11-25,6,0.0,6,0.3184662306511984,2002,11
Aweil Centre,2002-12-02,4,0.0,4,0.2123169530882414,2002,12
Aweil Centre,2002-12-23,2,0.0,2,0.10618363729858324,2002,12
Aweil Centre,2003-01-27,3,0.0,3,0.1590983969880506,2003,1
Aweil Centre,2003-03-31,2,0.0,2,0.10606888013314034,2003,3
Aweil Centre,2003-06-09,1,0.0,1,0.053058508046205335,2003,6
Aweil Centre,2003-09-22,6,0.0,6,0.31837353155728265,2003,9
Aweil Centre,2003-09-29,42,0.0,26,1.3788795537721477,2003,9
Aweil Centre,2003-10-13,2,0.0,2,0.10618363729858324,2003,10
Aweil Centre,2003-10-20,105,0.0,86,4.5622869734344,2003,10
Aweil Centre,2003-10-27,47,0.0,30,1.5910905049623163,2003,10
Aweil Centre,2003-11-03,1,0.0,1,0.0530825402499146,2003,11
Aweil Centre,2003-11-24,3,0.0,3,0.15939981141911128,2003,11
Aweil Centre,2003-12-01,2,0.0,2,0.10607572877490125,2003,12
Aweil Centre,2003-12-15,62,0.0,62,3.2914633307644774,2003,12
Aweil Centre,2004-10-18,6,0.0,4,0.21223361401719348,2004,10
Aweil Centre,2004-11-15,4,0.0,4,0.21221483011068246,2004,11
Aweil Centre,2004-12-20,1,0.0,1,0.05309053842340049,2004,12
Aweil Centre,2005-01-24,2,0.0,2,0.10620204584912639,2005,1
Aweil Centre,2005-08-29,88,0.0,50,2.65350056886083,2005,8
Aweil Centre,2005-09-05,19,0.0,17,0.9022636278284288,2005,9
Aweil Centre,2005-09-19,15,0.0,9,0.4775133512511372,2005,9
Aweil Centre,2005-09-26,162,0.0,129,6.842293767748819,2005,9
Aweil Centre,2005-10-03,29,0.0,14,0.7426901049483984,2005,10
Aweil Centre,2005-10-10,6,0.0,4,0.2123390379131235,2005,10
Aweil Centre,2005-10-31,5,0.0,4,0.2123938421167264,2005,10
Aweil Centre,2005-11-07,4,0.0,3,0.15930926728816436,2005,11
Aweil Centre,2005-11-14,1,0.0,1,0.053086546149629314,2005,11
Aweil Centre,2005-11-21,9,0.0,9,0.4779106056748943,2005,11
Aweil Centre,2005-11-28,2,0.0,2,0.10620768037512626,2005,11
Aweil Centre,2006-08-14,1,0.0,1,0.05306288698107143,2006,8
Aweil Centre,2006-08-21,11,0.0,11,0.5838483018386635,2006,8
Aweil Centre,2006-08-28,56,0.0,30,1.5918968046961175,2006,8
Aweil Centre,2006-09-04,140,0.0,140,7.427807209281044,2006,9
Aweil Centre,2006-09-11,54,0.0,32,1.6971036978744116,2006,9
Aweil Centre,2006-09-18,2,0.0,1,0.05302200561973393,2006,9
Aweil Centre,2006-09-25,23,0.0,12,0.6364735631955751,2006,9
Aweil Centre,2006-10-02,543,0.0,351,18.619415904571326,2006,10
Aweil Centre,2006-10-09,29,0.0,24,1.2728963550481407,2006,10
Aweil Centre,2006-10-16,33,0.0,25,1.3258359629087302,2006,10
Aweil Centre,2006-10-23,3,0.0,3,0.15911359316235188,2006,10
Aweil Centre,2006-10-30,15,0.0,15,0.7961234765460092,2006,10
Aweil Centre,2006-11-06,50,0.0,48,2.5462970935896267,2006,11
Aweil Centre,2006-11-13,93,0.0,66,3.5006663412451386,2006,11
Aweil Centre,2006-11-20,248,0.0,222,11.782469722206118,2006,11
Aweil Centre,2006-11-27,40,0.0,40,2.1234351474177426,2006,11
Aweil Centre,2006-12-04,13,0.0,13,0.6900338796777045,2006,12
Aweil Centre,2007-04-09,4,0.0,4,0.21244648406080843,2007,4
Aweil Centre,2007-08-20,170,0.0,117,6.20908315716776,2007,8
Aweil Centre,2007-08-27,6,0.0,6,0.3183892580685269,2007,8
Aweil Centre,2007-09-03,83,0.0,70,3.714659978796036,2007,9
Aweil Centre,2007-09-10,2,0.0,2,0.10615243468410362,2007,9
Aweil Centre,2007-09-17,466,0.0,443,23.5036349381893,2007,9
Aweil Centre,2007-09-24,589,0.0,378,20.051297433411204,2007,9
Aweil Centre,2007-10-01,268,0.0,158,8.382625547061062,2007,10
Aweil Centre,2007-10-08,356,0.0,167,8.859978299713106,2007,10
Aweil Centre,2007-10-15,132,0.0,64,3.3949489177883057,2007,10
Aweil Centre,2007-10-22,73,0.0,68,3.6077652694008777,2007,10
Aweil Centre,2007-10-29,292,0.0,174,9.23344124322236,2007,10
Aweil Centre,2007-11-05,23,0.0,14,0.7424626348558034,2007,11
Aweil Centre,2007-11-12,71,0.0,69,3.6623536324464085,2007,11
Aweil Centre,2007-11-26,29,0.0,26,1.3802018250895194,2007,11
Aweil Centre,2007-12-03,12,0.0,12,0.6370225471388786,2007,12
Aweil Centre,2007-12-10,14,0.0,14,0.7431936382826063,2007,12
Aweil Centre,2007-12-17,3,0.0,3,0.15925649415423104,2007,12
Aweil Centre,2007-12-24,4,0.0,4,0.21234018197422666,2007,12
Aweil Centre,2008-04-14,2,0.0,2,0.10612139908939178,2008,4
Aweil Centre,2008-06-23,2,0.0,2,0.10616937587354494,2008,6
Aweil Centre,2008-08-04,9,0.0,5,0.2654247270289928,2008,8
Aweil Centre,2008-08-11,34,0.0,25,1.3260256361735894,2008,8
Aweil Centre,2008-08-18,4,0.0,4,0.2121463952466598,2008,8
Aweil Centre,2008-08-25,126,0.0,112,5.94109452942382,2008,8
Aweil Centre,2008-09-01,683,0.0,234,12.417459712252064,2008,9
Aweil Centre,2008-09-08,651,0.0,337,17.881951778135416,2008,9
Aweil Centre,2008-09-15,207,0.0,113,5.996531569478823,2008,9
Aweil Centre,2008-09-22,707,0.0,433,22.978311770192256,2008,9
Aweil Centre,2008-09-29,268,0.0,188,9.976148429958094,2008,9
Aweil Centre,2008-10-06,277,0.0,179,9.498814940241866,2008,10
Aweil Centre,2008-10-13,805,0.0,428,22.7156610630248,2008,10
Aweil Centre,2008-10-20,2399,0.0,946,50.19893429579248,2008,10
Aweil Centre,2008-10-27,2226,0.0,759,40.272154377579604,2008,10
