county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2000-10-16,recurring,18,0.0,9,0.47740704311982285,2000,10
Aweil Centre,2000-10-16,unusual,35,0.0,18,0.9550880594337247,2000,10
Aweil Centre,2000-10-23,recurring,14,0.0,14,0.7425444066080542,2000,10
Aweil Centre,2000-10-23,unusual,24,0.0,24,1.2733825864168529,2000,10
Aweil Centre,2000-10-30,recurring,78,0.0,41,2.1745602674845,2000,10
Aweil Centre,2000-10-30,unusual,74,0.0,42,2.2280628815003154,2000,10
Aweil Centre,2001-10-15,recurring,16,0.0,8,0.4242689584892502,2001,10
Aweil Centre,2001-10-15,unusual,3,0.0,3,0.1591013816607138,2001,10
Aweil Centre,2001-10-29,recurring,30,0.0,15,0.7954912039858928,2001,10
Aweil Centre,2001-10-29,unusual,8,0.0,4,0.21213083646922704,2001,10
Aweil Centre,2002-09-02,recurring,2,0.0,2,0.10615790364545964,2002,9
Aweil Centre,2002-09-02,unusual,1,0.0,1,0.05306288698107143,2002,9
Aweil Centre,2002-09-16,recurring,3,0.0,3,0.15910048653205472,2002,9
Aweil Centre,2002-09-23,recurring,2,0.0,2,0.10606105888673403,2002,9
Aweil Centre,2002-09-23,unusual,3,0.0,3,0.15907653716775078,2002,9
Aweil Centre,2002-09-30,recurring,2,0.0,2,0.10606768718664208,2002,9
Aweil Centre,2002-10-28,unusual,1,0.0,1,0.053087688165767664,2002,10
Aweil Centre,2002-11-25,unusual,6,0.0,6,0.3184662306511984,2002,11
Aweil Centre,2002-12-02,unusual,4,0.0,4,0.2123169530882414,2002,12
Aweil Centre,2002-12-23,unusual,2,0.0,2,0.10618363729858324,2002,12
Aweil Centre,2003-01-27,unusual,3,0.0,3,0.1590983969880506,2003,1
Aweil Centre,2003-03-31,unusual,2,0.0,2,0.10606888013314034,2003,3
Aweil Centre,2003-06-09,unusual,1,0.0,1,0.053058508046205335,2003,6
Aweil Centre,2003-09-22,unusual,6,0.0,6,0.31837353155728265,2003,9
Aweil Centre,2003-09-29,recurring,37,0.0,21,1.113706675576994,2003,9
Aweil Centre,2003-09-29,unusual,5,0.0,5,0.26517287819515367,2003,9
Aweil Centre,2003-10-13,recurring,1,0.0,1,0.05309196078970587,2003,10
Aweil Centre,2003-10-13,unusual,1,0.0,1,0.053091676508877375,2003,10
Aweil Centre,2003-10-20,recurring,50,0.0,34,1.8032865995202108,2003,10
Aweil Centre,2003-10-20,unusual,55,0.0,52,2.7590003739141897,2003,10
Aweil Centre,2003-10-27,recurring,35,0.0,21,1.1137263460624818,2003,10
Aweil Centre,2003-10-27,unusual,12,0.0,9,0.47736415889983436,2003,10
Aweil Centre,2003-11-03,unusual,1,0.0,1,0.0530825402499146,2003,11
