,local rainfall,local runoff,flood_pixels,seven_day_net_moisture
2024-01-01,0.0,0.00031292439,3,
2024-01-08,0.0,0.00071525574,9,-52.023714542388916
2024-01-15,0.0,0.00078231096,10,-51.92571306228638
2024-01-22,0.0,0.0003799796,14,-52.31405258178711
2024-01-29,0.0,0.00078231096,7,-54.35569906234741
2024-02-05,0.06634742,0.0008493662,0,-58.89057129621506
2024-02-12,0.0038295984,0.0003837049,0,-55.99261271953583
2024-02-19,0.00017881393,0.00035762787,2,-58.143600940704346
2024-02-26,1.4901161e-05,0.00032782555,0,-59.407645106315606
2024-03-04,0.0,0.0002682209,0,-57.59139585494995
2024-03-11,0.00035762787,0.00024214387,0,-56.96111583709717
2024-03-18,0.7779673,0.0026673079,3,-50.249949634075165
2024-03-25,0.0028163195,0.00020116568,3,-60.39366948604584
2024-04-01,0.0017285347,8.940697e-05,0,-54.94194936752319
2024-04-08,5.4778905,0.023525208,0,-44.69266563653946
2024-04-15,0.0017955899,4.0978193e-05,0,-55.33526676893234
2024-04-22,0.0067800283,7.4505806e-05,0,-53.24509251117706
2024-04-29,0.5886406,0.0020489097,0,-54.310336232185364
2024-05-06,0.0039860606,9.313226e-05,0,-49.9679873585701
2024-05-13,0.8760914,0.0028684735,0,-55.82849460840225
2024-05-20,3.7872121,0.01533702,0,-47.59800887107849
2024-05-27,10.356561,0.04223734,0,-32.16569322347641
2024-06-03,1.1879057,0.0043064356,0,-50.54215681552887
2024-06-10,2.9461086,0.009831041,0,-49.079856634140015
2024-06-17,9.666785,0.039014965,0,-30.369784653186798
2024-06-24,8.896902,0.041529536,0,-32.37211775779724
2024-07-01,2.0447447,0.0070109963,0,-38.462936103343964
2024-07-08,23.210152,0.11335313,4,-13.74067598581314
2024-07-15,26.558704,0.20994246,0,-6.891153872013092
2024-07-22,72.125534,2.896823,0,41.23321032524109
2024-07-29,31.507164,0.32321736,3,0.48625093698501587
2024-08-05,32.156372,0.8672252,0,1.831127107143402
2024-08-12,37.189915,1.0818802,0,7.048385739326477
2024-08-19,74.59183,9.134774,0,47.814674377441406
2024-08-26,106.73252,10.520411,0,78.3025050163269
2024-09-02,45.715466,2.9668062,1,17.291183948516846
2024-09-09,48.282795,5.17264,559,16.942933797836304
2024-09-16,32.996357,1.7511361,206,-1.0572077631950378
2024-09-23,19.80132,1.0053701,410,-11.950338900089264
2024-09-30,28.945864,1.2323856,1511,-4.758981287479401
2024-10-07,26.997812,1.0032244,342,-6.2503602504730225
2024-10-14,25.000118,1.1092982,980,-8.63925051689148
2024-10-21,8.973866,0.2164822,2975,-28.078820049762726
2024-10-28,4.6168566,0.060293823,2078,-30.121972501277924
2024-11-04,0.6491542,0.020578504,3522,-33.86443328857422
2024-11-11,0.18930435,0.01673773,3245,-41.527631759643555
2024-11-18,0.037394464,0.016570091,1953,-39.827687323093414
2024-11-25,0.0,0.015821308,2312,-44.15687704086304
2024-12-02,2.9802322e-05,0.015120953,2052,-46.654632806777954
2024-12-09,0.0,0.015068799,1613,-49.12119722366333
2024-12-16,0.0,0.014785677,964,-48.19767713546753
2024-12-23,0.0,0.013910234,291,-51.29140663146973
2024-12-30,0.0,0.013869256,208,-52.687148094177246
2025-01-06,0.0,0.0020302832,48,-53.55494546890259
