lag_days,signal,correlation,n_days
0,local rainfall,0.5557156070284616,366
0,local runoff,0.5050050188973539,366
0,upstream rainfall,0.6400774907195647,366
0,upstream runoff,0.6319993307255661,366
0,river discharge,0.8144492699058656,366
1,local rainfall,0.5768688550176642,365
1,local runoff,0.5272238291487871,365
1,upstream rainfall,0.6379751669282396,365
1,upstream runoff,0.6299521054687326,365
1,river discharge,0.8166983371023463,365
2,local rainfall,0.5818992822988429,364
2,local runoff,0.5302276332950449,364
2,upstream rainfall,0.6389149623072766,364
2,upstream runoff,0.6307312674350043,364
2,river discharge,0.8143456233983842,364
3,local rainfall,0.566611118236813,363
3,local runoff,0.5172734841501875,363
3,upstream rainfall,0.6409417754507922,363
3,upstream runoff,0.6282828621341641,363
3,river discharge,0.8104160978665508,363
4,local rainfall,0.5580472810999231,362
4,local runoff,0.5084458656878279,362
4,upstream rainfall,0.6500981188731735,362
4,upstream runoff,0.6378157603529597,362
4,river discharge,0.8119385640721958,362
5,local rainfall,0.5668459011994267,361
5,local runoff,0.5198428303688738,361
5,upstream rainfall,0.6595057824338514,361
5,upstream runoff,0.6466846034912236,361
5,river discharge,0.8115182893847778,361
6,local rainfall,0.5963509216671655,360
6,local runoff,0.5506815669757175,360
6,upstream rainfall,0.6722227455271568,360
6,upstream runoff,0.6607615776991271,360
6,river discharge,0.8099322965579691,360
7,local rainfall,0.612910043981948,359
7,local runoff,0.5717294178384723,359
7,upstream rainfall,0.6879008675241796,359
7,upstream runoff,0.6757766293343922,359
7,river discharge,0.8063642996875909,359
8,local rainfall,0.6088099690680469,358
8,local runoff,0.5674251004826251,358
8,upstream rainfall,0.6998781242672882,358
8,upstream runoff,0.6870358575979519,358
8,river discharge,0.8029537688266063,358
9,local rainfall,0.577380068179878,357
9,local runoff,0.5339582279345694,357
9,upstream rainfall,0.7050770085449485,357
9,upstream runoff,0.6936223827275305,357
9,river discharge,0.8051153354909466,357
10,local rainfall,0.5660204810472603,356
10,local runoff,0.52489621671669,356
10,upstream rainfall,0.7140747964866476,356
10,upstream runoff,0.7053892447159577,356
10,river discharge,0.799025589508001,356
11,local rainfall,0.5804704471902242,355
11,local runoff,0.5434645115678358,355
11,upstream rainfall,0.7165605231165554,355
11,upstream runoff,0.707751242575381,355
11,river discharge,0.7954798223377108,355
12,local rainfall,0.594464706644599,354
12,local runoff,0.5504700427494941,354
12,upstream rainfall,0.7129501802366155,354
12,upstream runoff,0.7034394580920105,354
12,river discharge,0.7886843268602802,354
13,local rainfall,0.6136503355617501,353
13,local runoff,0.5735864227608468,353
13,upstream rainfall,0.7256531540271468,353
13,upstream runoff,0.7148853889014457,353
13,river discharge,0.7802454023618065,353
14,local rainfall,0.620717811480766,352
14,local runoff,0.5822319408139437,352
14,upstream rainfall,0.7216692977799846,352
14,upstream runoff,0.7095360302501302,352
14,river discharge,0.77589077388236,352
