county,phase,month,flood_type,detected_pixels,crop_exposed_hectares,rangeland_exposed_hectares,crop_hectares,rangeland_hectares,crop_exposed_percent,rangeland_exposed_percent
Morobo,vegetative growth and flowering,8,recurring,52,2564.89357245291,10955.95230871207,22110.0558025888,53860.619596300836,11.600574848628806,20.341303889241797
Morobo,vegetative growth and flowering,8,unusual,36,1778.0170191125485,7648.671564510688,22110.0558025888,53860.619596300836,8.041666809833949,14.200860706466885
Morobo,maturation and harvest,10,recurring,47,2315.3141102368613,7699.5313653644325,22110.0558025888,53860.619596300836,10.471769636898738,14.295289254142258
Morobo,maturation and harvest,10,unusual,31,1533.7894888392823,4835.836406091279,22110.0558025888,53860.619596300836,6.937067470719344,8.978426988655373
Morobo,maturation and harvest,11,recurring,40,1968.3910742313935,8405.757315157232,22110.0558025888,53860.619596300836,8.902696093606968,15.60649947616745
Morobo,maturation and harvest,11,unusual,24,1186.6759820163884,6329.993603631006,22110.0558025888,53860.619596300836,5.367132460504438,11.752545089670214
Kajo-keji,vegetative growth and flowering,8,recurring,59,3647.824484053335,26093.047574229546,28006.047330741992,115740.51473030538,13.025131468835125,22.544437127336682
Kajo-keji,vegetative growth and flowering,8,unusual,41,2554.87465318452,16749.897446294035,28006.047330741992,115740.51473030538,9.122582073122674,14.471939653391104
Kajo-keji,maturation and harvest,10,recurring,44,2736.30304089924,17134.685624397527,28006.047330741992,115740.51473030538,9.77040068733878,14.804397288472572
Kajo-keji,maturation and harvest,10,unusual,30,1884.670276803435,11941.915180764057,28006.047330741992,115740.51473030538,6.72951186058537,10.317834864127486
Kajo-keji,maturation and harvest,11,recurring,42,2625.859390710881,16915.20649166769,28006.047330741992,115740.51473030538,9.376044251087508,14.614766947497104
Kajo-keji,maturation and harvest,11,unusual,29,1775.6051327997534,12916.689412527172,28006.047330741992,115740.51473030538,6.340077597636162,11.160041444973011
Lainya,vegetative growth and flowering,8,recurring,65,6660.086770777392,41362.55632485859,46360.1843370742,183911.8127467743,14.36596265958185,22.49042935692779
Lainya,vegetative growth and flowering,8,unusual,41,4220.4696941033935,30244.46940534755,46360.1843370742,183911.8127467743,9.103651666734827,16.445093413869373
Lainya,maturation and harvest,10,recurring,46,4699.721227880363,33596.21270377745,46360.1843370742,183911.8127467743,10.137408414319008,18.267566504841984
Lainya,maturation and harvest,10,unusual,30,3136.6543772175364,18538.683765679896,46360.1843370742,183911.8127467743,6.76583672405538,10.08020283678328
Lainya,maturation and harvest,11,recurring,50,5151.246275588149,34423.80355192709,46360.1843370742,183911.8127467743,11.111358484113493,18.717559811845675
Lainya,maturation and harvest,11,unusual,33,3367.181628020689,17978.31353057426,46360.1843370742,183911.8127467743,7.263089386225665,9.775507762151395
Yei,vegetative growth and flowering,8,recurring,63,11898.201519811388,50254.04982085744,84994.98537156523,224690.54767916133,13.99871000365145,22.36589404402355
Yei,vegetative growth and flowering,8,unusual,44,8390.711919429687,28503.711574592307,84994.98537156523,224690.54767916133,9.87200819289366,12.685763539680869
Yei,maturation and harvest,10,recurring,49,9225.148190254884,39696.24005079956,84994.98537156523,224690.54767916133,10.853755842095978,17.667071650687486
Yei,maturation and harvest,10,unusual,34,6346.048037424411,28709.751584698126,84994.98537156523,224690.54767916133,7.466379351301658,12.77746299577015
Yei,maturation and harvest,11,recurring,53,10031.895912345546,42912.06299567468,84994.98537156523,224690.54767916133,11.802926806199183,19.09829471640676
Yei,maturation and harvest,11,unusual,29,5439.901099028693,29813.18372361156,84994.98537156523,224690.54767916133,6.40026123335106,13.268552696832716
Juba,vegetative growth and flowering,8,recurring,72,30925.680629402883,120121.74640826418,192642.13245062303,471011.87472423166,16.05343557818515,25.50291252818056
Juba,vegetative growth and flowering,8,unusual,39,16852.619711904154,82241.29637816807,192642.13245062303,471011.87472423166,8.748148443707517,17.460556897067352
Juba,maturation and harvest,10,recurring,55,23726.397251639715,91575.22116878798,192642.13245062303,471011.87472423166,12.316307419261534,19.442231944237818
Juba,maturation and harvest,10,unusual,34,14342.681281060244,53248.93040713493,192642.13245062303,471011.87472423166,7.445246322081947,11.305220370146962
Juba,maturation and harvest,11,recurring,60,25610.67029995665,95963.06704930335,192642.13245062303,471011.87472423166,13.294428365259627,20.37381055530455
Juba,maturation and harvest,11,unusual,35,15158.913349826864,61187.342376093104,192642.13245062303,471011.87472423166,7.868950139301595,12.990615663759455
Terekeka,vegetative growth and flowering,8,recurring,85,32646.706198086646,167043.69252532188,171923.66630331802,510090.5260033184,18.989070498583583,32.747852392819226
Terekeka,vegetative growth and flowering,8,unusual,55,21170.08806100359,109226.64770800198,171923.66630331802,510090.5260033184,12.313655540392007,21.413188863517806
Terekeka,maturation and harvest,10,recurring,72,27484.13557486656,122906.39121302447,171923.66630331802,510090.5260033184,15.986243293798426,24.09501548206071
Terekeka,maturation and harvest,10,unusual,39,14853.52774011066,78247.7933144351,171923.66630331802,510090.5260033184,8.639606204014505,15.339981694528877
Terekeka,maturation and harvest,11,recurring,71,27250.470106173365,119504.54856572875,171923.66630331802,510090.5260033184,15.850330959145818,23.428105889767362
Terekeka,maturation and harvest,11,unusual,45,17062.946381904727,85252.99230745168,171923.66630331802,510090.5260033184,9.924722261216356,16.713306356702862
Magwi,vegetative growth and flowering,8,recurring,50,4096.813403423285,45912.23813460494,36986.21829375385,261061.9521731186,11.076594451709992,17.586721371086295
Magwi,vegetative growth and flowering,8,unusual,29,2414.4026571613317,33901.4351192999,36986.21829375385,261061.9521731186,6.527844068797568,12.985973190309544
Magwi,maturation and harvest,10,recurring,48,3971.5312643604148,43079.60739646719,36986.21829375385,261061.9521731186,10.73786790749331,16.501679788213533
Magwi,maturation and harvest,10,unusual,25,2069.6437958244837,21881.48422239948,36986.21829375385,261061.9521731186,5.595716164834295,8.381720905805976
Magwi,maturation and harvest,11,recurring,44,3641.699336041548,35058.287119083616,36986.21829375385,261061.9521731186,9.846098098265292,13.429106320263527
Magwi,maturation and harvest,11,unusual,31,2567.2715080246567,23671.657447253125,36986.21829375385,261061.9521731186,6.941157075413173,9.067448262838273
Ikotos,vegetative growth and flowering,8,recurring,53,3747.4892755101528,22515.657560157695,31532.26709681185,131378.55678132776,11.8846173159844,17.138000379798466
Ikotos,vegetative growth and flowering,8,unusual,30,2089.291102098747,15474.12411322119,31532.26709681185,131378.55678132776,6.625882927111163,11.7782722632408
Ikotos,maturation and harvest,10,recurring,39,2763.5832869808005,21189.46072017227,31532.26709681185,131378.55678132776,8.764302542839426,16.12855342553423
Ikotos,maturation and harvest,10,unusual,23,1645.8332160217903,10284.69883178915,31532.26709681185,131378.55678132776,5.2195207244968325,7.828293356051593
Ikotos,maturation and harvest,11,recurring,40,2825.0561873926645,17137.482693005604,31532.26709681185,131378.55678132776,8.959254907739568,13.04435298488625
Ikotos,maturation and harvest,11,unusual,25,1764.2606213447218,10785.549101242103,31532.26709681185,131378.55678132776,5.59509601998488,8.209520157230866
Kapoeta South,vegetative growth and flowering,8,recurring,55,2420.1373491654153,8937.783045140992,19941.429357209403,44192.33651927549,12.136228079811469,20.22473521227504
Kapoeta South,vegetative growth and flowering,8,unusual,38,1673.8229702332158,5266.193497703535,19941.429357209403,44192.33651927549,8.393696059846786,11.916531037924562
Kapoeta South,maturation and harvest,10,recurring,46,2040.4932493146985,6715.684045599377,19941.429357209403,44192.33651927549,10.23243225329282,15.196490103369344
Kapoeta South,maturation and harvest,10,unusual,22,992.6767853913492,4934.738477454411,19941.429357209403,44192.33651927549,4.9779620488060345,11.166502760726427
Kapoeta South,maturation and harvest,11,recurring,40,1783.9637783377193,5826.104808029437,19941.429357209403,44192.33651927549,8.946017591726768,13.18351838103932
