,local rainfall,local runoff,flood_pixels,seven_day_net_moisture
2024-01-01,0.18517447358368944,0.3811063031661885,2,
2024-01-08,7.431468164287635,0.47478969012544553,10,-30.79119890025678
2024-01-15,11.59746124077864,1.533422192195837,10,-26.45864149458889
2024-01-22,8.743153119344608,1.4747771341069835,11,-29.740800072337006
2024-01-29,7.317123718292611,1.7611900084661258,13,-30.375430190178797
2024-02-05,10.171258254348908,0.7847565753540572,12,-28.726503844848942
2024-02-12,6.848368301204089,2.8564810745624754,8,-32.227456617485466
2024-02-19,6.166331735107527,1.2945224446262047,12,-31.429846697916922
2024-02-26,6.551617283520286,1.5506766666708534,9,-32.42558530645651
2024-03-04,6.641970457167046,1.508787852223089,13,-33.08122018984619
2024-03-11,7.097105360058132,1.7654675988087645,14,-32.03189636367937
2024-03-18,8.054347217929424,2.17686160229755,14,-30.975817862648043
2024-03-25,8.929791665280067,1.5572500362659367,11,-29.321266812516697
2024-04-01,9.52219329541886,2.9419443520440125,12,-29.18650878240725
2024-04-08,8.734770228261425,1.74080188771785,19,-29.54913547259696
2024-04-15,9.495153861293977,2.8658551267037176,20,-29.464611803707676
2024-04-22,12.869356742361981,1.6323236558055627,19,-24.993071706223517
2024-04-29,12.066328500721047,1.979766089951658,15,-26.21083840368464
2024-05-06,7.318137989169375,3.1077605424883505,23,-30.499105055045757
2024-05-13,16.81517597268205,2.1705298531856725,22,-20.13979932105033
2024-05-20,26.135799761302916,5.504367735970872,26,-8.499268280865767
2024-05-27,24.595085130602385,3.943174657647255,25,-8.172853941745092
2024-06-03,32.755576688723245,8.185965292742777,32,1.5135279449474908
2024-06-10,35.57289824563691,8.519018415945386,37,5.014362759360843
2024-06-17,43.299469455898844,10.165299093774232,32,14.997436883282003
2024-06-24,49.02930804399099,11.72315512833308,40,21.144990663119028
2024-07-01,45.562641637179404,12.861463075630084,65,18.619159941303913
2024-07-08,50.608127708883,13.754964265328088,72,24.483580629117895
2024-07-15,120.8288665806999,37.2114652600514,81,95.24060176287688
2024-07-22,55.06061568845858,14.521819220146847,72,30.51826562807922
2024-07-29,116.62732360569703,36.20719708206823,65,91.1142141039185
2024-08-05,53.98359160711348,13.764925749636513,75,29.484299834675753
2024-08-12,113.20402436660062,37.65744283311846,88,88.45491994485172
2024-08-19,89.78294368972226,26.80409085782924,84,65.1771375000772
2024-08-26,73.35289677575685,20.987994142272353,97,46.642244877043275
2024-09-02,109.37814999202426,33.4726319536296,90,83.91705995636919
2024-09-09,42.198987101990845,11.066152614955604,83,14.530334748005107
2024-09-16,39.6580547252502,9.614298905855449,77,11.576030617496045
2024-09-23,38.19658109822902,9.122345505952332,72,7.84342834225167
2024-09-30,33.34101803201963,8.354723429471086,80,1.4079210049179274
2024-10-07,25.909039444508636,4.364827595507151,54,-6.89000009202212
2024-10-14,19.416339998568212,2.277252568904372,53,-14.716423613350738
2024-10-21,22.588396176315012,4.005338032806048,56,-13.40114169269918
2024-10-28,11.948659977417538,2.414279101858943,47,-26.66230812921741
2024-11-04,6.810588903484327,1.4651147851413133,20,-32.95971351244928
2024-11-11,6.51305792378343,2.1206330477473454,17,-32.76769987696496
2024-11-18,6.2321531516014055,0.812598237659658,20,-32.095493661697404
2024-11-25,3.2344035896918166,1.8952646276134744,22,-35.28878816297846
2024-12-02,8.458219516490216,1.8239299128101196,16,-30.316403563097552
2024-12-09,4.567349094390401,0.9815189483964861,6,-33.459430515356935
2024-12-16,11.862605982826471,3.086107107622075,5,-26.587776665855884
2024-12-23,5.281609440041598,1.9000995156355327,6,-31.99666262331374
2024-12-30,7.70874434268543,2.3207641874448734,4,-31.551286215181904
2025-01-06,1.4855344547244105,0.027196642896246494,0,-31.1880313890573
