lag_days,signal,correlation,n_days
0,local rainfall,-0.13319962796052615,366
0,local runoff,-0.07826810211675857,366
0,upstream rainfall,-0.12796220028174268,366
0,upstream runoff,-0.03860056997311254,366
0,river discharge,-0.44644378872335144,366
1,local rainfall,-0.1113447983368682,365
1,local runoff,-0.07270092582196956,365
1,upstream rainfall,-0.11286935206974254,365
1,upstream runoff,-0.030339661533244962,365
1,river discharge,-0.43051089661372544,365
2,local rainfall,-0.1054319169892341,364
2,local runoff,-0.06512654654515423,364
2,upstream rainfall,-0.10495611294611633,364
2,upstream runoff,-0.031073591332673275,364
2,river discharge,-0.4275315159226747,364
3,local rainfall,-0.10094575164699685,363
3,local runoff,-0.061559060325616144,363
3,upstream rainfall,-0.10181665533182176,363
3,upstream runoff,-0.028859345596667522,363
3,river discharge,-0.41721968091724726,363
4,local rainfall,-0.0857454753406624,362
4,local runoff,-0.051336069216800694,362
4,upstream rainfall,-0.09004558336541595,362
4,upstream runoff,-0.025327829141247368,362
4,river discharge,-0.3951550944877812,362
5,local rainfall,-0.09277334405472198,361
5,local runoff,-0.054220202347597356,361
5,upstream rainfall,-0.09540674599397991,361
5,upstream runoff,-0.017199823339136028,361
5,river discharge,-0.3806232462090594,361
6,local rainfall,-0.08509355781816468,360
6,local runoff,-0.052670512973022096,360
6,upstream rainfall,-0.08386020976996461,360
6,upstream runoff,-0.018398412323569927,360
6,river discharge,-0.3720411710678032,360
7,local rainfall,-0.08192759852958269,359
7,local runoff,-0.047941909049940425,359
7,upstream rainfall,-0.08671439773452114,359
7,upstream runoff,-0.01464374090972999,359
7,river discharge,-0.38406525098500377,359
8,local rainfall,-0.0837464704822787,358
8,local runoff,-0.051383072486483466,358
8,upstream rainfall,-0.0928676534073934,358
8,upstream runoff,-0.026273014075214488,358
8,river discharge,-0.37799954861423435,358
9,local rainfall,-0.06070062215320333,357
9,local runoff,-0.04177901255092631,357
9,upstream rainfall,-0.08879583529506242,357
9,upstream runoff,-0.03025716265935561,357
9,river discharge,-0.35769354208555176,357
10,local rainfall,-0.05825354286440877,356
10,local runoff,-0.04738401041562037,356
10,upstream rainfall,-0.0664826197578203,356
10,upstream runoff,-0.009166671067493226,356
10,river discharge,-0.3315578573075978,356
11,local rainfall,-0.051402629151681666,355
11,local runoff,-0.0413750650209904,355
11,upstream rainfall,-0.06339631103010769,355
11,upstream runoff,-0.01968140065084092,355
11,river discharge,-0.3224942814334341,355
12,local rainfall,-0.06373159726156974,354
12,local runoff,-0.05246069602265919,354
12,upstream rainfall,-0.0598864226203248,354
12,upstream runoff,-0.016482412037086728,354
12,river discharge,-0.32097157945151833,354
13,local rainfall,-0.049452791362084116,353
13,local runoff,-0.042685263274260615,353
13,upstream rainfall,-0.03994231488346747,353
13,upstream runoff,-0.00738846772870478,353
13,river discharge,-0.3262995396048859,353
14,local rainfall,-0.015381927753963933,352
14,local runoff,-0.02408482881374227,352
14,upstream rainfall,-0.02578648004825864,352
14,upstream runoff,-2.3098428955018337e-05,352
14,river discharge,-0.2970726170904558,352
