county,phase,month,flood_type,detected_pixels,crop_exposed_hectares,rangeland_exposed_hectares,crop_hectares,rangeland_hectares,crop_exposed_percent,rangeland_exposed_percent
Aweil Centre,dry season,1,unusual,3,0.0,73.35112990229891,392.67292802850056,637579.6523491438,0.0,0.011504622149097575
Aweil Centre,dry season,2,unusual,3,0.0,62.23732234134452,392.67292802850056,637579.6523491438,0.0,0.009761497581052487
Aweil Centre,vegetative growth and flowering,9,recurring,26,0.0,410.22298574989384,392.67292802850056,637579.6523491438,0.0,0.06434066461161976
Aweil Centre,vegetative growth and flowering,9,unusual,26,0.0,491.72424119689265,392.67292802850056,637579.6523491438,0.0,0.07712357811061707
Aweil Centre,maturation and harvest,10,recurring,7,0.0,146.70225980459782,392.67292802850056,637579.6523491438,0.0,0.02300924429819515
Aweil Centre,maturation and harvest,10,unusual,11,0.0,234.8717997881692,392.67292802850056,637579.6523491438,0.0,0.036838032538019504
Aweil Centre,maturation and harvest,11,recurring,10,0.0,123.98069767997997,392.67292802850056,637579.6523491438,0.0,0.01944552295908075
Aweil Centre,maturation and harvest,11,unusual,16,0.0,271.4238779886414,392.67292802850056,637579.6523491438,0.0,0.04257097556181223
Aweil Centre,maturation and harvest,12,unusual,10,0.0,140.28094876937973,392.67292802850056,637579.6523491438,0.0,0.022002105658880212
Aweil East,dry season,1,unusual,10,0.0,155.5933058533613,19098.1814459387,434946.1713846957,0.0,0.035773002750665465
Aweil East,vegetative growth and flowering,7,unusual,6,0.0,0.0,19098.1814459387,434946.1713846957,0.0,0.0
Aweil East,vegetative growth and flowering,9,recurring,299,44.45523024381752,3991.338755390749,19098.1814459387,434946.1713846957,0.23277205931704606,0.9176626943706422
Aweil East,vegetative growth and flowering,9,unusual,173,51.61746178309923,2131.3813166896953,19098.1814459387,434946.1713846957,0.2702742244292369,0.4900333551400681
Aweil East,maturation and harvest,10,recurring,370,98.7894005418167,5153.843026266577,19098.1814459387,434946.1713846957,0.5172712429267691,1.184938129207757
Aweil East,maturation and harvest,10,unusual,507,675.2255527033171,7762.624121074602,19098.1814459387,434946.1713846957,3.535548945404466,1.7847321419939146
Aweil East,maturation and harvest,11,recurring,317,53.8402232952901,4515.663498766441,19098.1814459387,434946.1713846957,0.2819128273950891,1.0382120353859798
Aweil East,maturation and harvest,11,unusual,445,532.7218424217466,6971.074049233296,19098.1814459387,434946.1713846957,2.7893851774826026,1.6027440883179103
Aweil East,maturation and harvest,12,recurring,67,3.2106555176090428,1013.8262230603939,19098.1814459387,434946.1713846957,0.016811315395119993,0.23309234331981224
Aweil East,maturation and harvest,12,unusual,373,257.3463884114325,5223.983500651268,19098.1814459387,434946.1713846957,1.3474915878242333,1.2010643717175808
Aweil North,vegetative growth and flowering,9,recurring,18,0.9878940054181671,192.88630455789712,4237.1003769567005,445417.7362811846,0.023315331654420762,0.04330458552645764
Aweil North,vegetative growth and flowering,9,unusual,44,15.806304086690673,828.1021500417785,4237.1003769567005,445417.7362811846,0.3730453064707322,0.18591584541640518
Aweil North,maturation and harvest,10,recurring,5,0.0,44.45523024381752,4237.1003769567005,445417.7362811846,0.0,0.009980570287787932
Aweil North,maturation and harvest,10,unusual,97,76.06783841719886,1894.2867553893352,4237.1003769567005,445417.7362811846,1.7952805373903986,0.42528318948518573
